segment,reference,n_overrides,Model H_std_wer,Model H_lattice_wer,Model H_improved,Model i_std_wer,Model i_lattice_wer,Model i_improved,Model k_std_wer,Model k_lattice_wer,Model k_improved,Model l_std_wer,Model l_lattice_wer,Model l_improved,Model m_std_wer,Model m_lattice_wer,Model m_improved,Model n_std_wer,Model n_lattice_wer,Model n_improved
0,वही अपना खेती बाड़ी और क्या,0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.3333,0.1667,True,0.0,0.0,False
1,मौनता का अर्थ क्या होता है,0,0.0,0.0,False,0.0,0.0,False,1.0,0.3333,True,0.3333,0.1667,True,1.0,0.1667,True,0.3333,0.0,True
2,और रक्षाबंधन पे चलो बहनों को,0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.3333,0.1667,True,0.3333,0.1667,True
3,एक सिंपल और सादा वे में,0,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False,0.3333,0.1667,True,0.0,0.0,False,0.0,0.0,False
4,आने वाली चुनौतियों  का इंतजार करना,0,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
5,अचानक आई मुश्किलों का सामना करना,0,0.0,0.0,False,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False,1.5,0.6667,True,0.1667,0.1667,False
6,सर आपकी इच्छा जय सियाराम,0,0.4,0.2,True,0.0,0.0,False,0.8,0.2,True,0.4,0.2,True,0.4,0.0,True,0.4,0.2,True
7,जी फीडबैक मिलने  पर सुधार करना,0,0.0,0.0,False,0.0,0.0,False,0.3333,0.0,True,0.3333,0.0,True,0.0,0.0,False,0.1667,0.1667,False
8,जो एक महत्वपूर्ण भूमिका निभाते हैं,0,0.0,0.0,False,0.1667,0.0,True,0.1667,0.0,True,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False
9,जीवन की चुनौतियों का सामना करना,0,0.0,0.0,False,0.1667,0.0,True,0.1667,0.0,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
10,हम्म बहुत प्योर हार्ट रहता है सबका,0,0.1429,0.1429,False,0.1429,0.0,True,0.5714,0.1429,True,0.2857,0.1429,True,0.2857,0.1429,True,0.1429,0.1429,False
11,पूजा और प्रार्थना में  शामिल होना,0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False
12,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,1,0.0233,0.0,True,0.0233,0.0,True,0.0698,0.0,True,0.1395,0.0,True,0.1163,0.0233,True,0.0465,0.0233,True
13,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर में लचक आ रही है तो वो पसीना पड़े जा रहा है ये है कि उनको हीट वेव्स के कारण कुछ भी हो जाए,0,0.093,0.0233,True,0.0,0.0,False,0.093,0.0,True,0.1163,0.0,True,0.1628,0.0233,True,0.1395,0.0233,True
14,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे चाबी वगैरह आपको आप कहीं दूर जाता तो तब बड़ी मुश्किल से गाड़ी की चाबी मिलती थी,1,0.0,0.0,False,0.0,0.0,False,0.1081,0.0,True,0.0541,0.0,True,0.1081,0.0,True,0.0541,0.0,True
15,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करना चाहिए था हमको,0,0.0455,0.0,True,0.0,0.0,False,0.0909,0.0,True,0.1364,0.0,True,0.1818,0.0,True,0.0909,0.0,True
16,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना यात्रा करना भ्रमण करना चाहे वो किसी भी रूप में हो चाहे किसी पर्यटन स्थल पर हो दर्शनीय स्थल पर हो किसी के,2,0.0222,0.0,True,0.0,0.0,False,0.1111,0.0444,True,0.1333,0.0444,True,0.1111,0.0444,True,0.0889,0.0444,True
17,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फेस को जो चेहरा होता है ना गणेश जी का वो ढक कर और फिर उनको लेकर आते हैं बैंड बाजे के साथ में लेकर आते हैं,0,0.0,0.0,False,0.0,0.0,False,0.1333,0.0222,True,0.0,0.0,False,0.1556,0.0667,True,0.0889,0.0222,True
18,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,1,0.1667,0.0833,True,0.0,0.0,False,0.25,0.0833,True,0.25,0.0833,True,0.25,0.0,True,0.0833,0.0,True
19,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रखा हुआ है लिफ्ट भी है,0,0.0,0.0,False,0.0435,0.0,True,0.3043,0.0435,True,0.1304,0.0435,True,0.2174,0.0435,True,0.1304,0.0,True
20,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतलब हमको वहाँ पे उतरे कोटा मतलब कोटा है राजस्थान के कोटा में तो रात में उतरे तो फिर रात भर हमको,0,0.0244,0.0244,False,0.0,0.0,False,0.0488,0.0,True,0.0488,0.0,True,0.1707,0.0488,True,0.1707,0.0,True
21,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब आपकी पसंदीदा खिचड़ी भी बनाऊँगी और मैंने यही मैंने बात टालने की ही कोशिश की मैंने दूसरा रास्ता चुना,0,0.025,0.0,True,0.0,0.0,False,0.15,0.0,True,0.05,0.0,True,0.25,0.075,True,0.2,0.025,True
22,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान रखूँ,0,0.0,0.0,False,0.0,0.0,False,0.0588,0.0,True,0.0588,0.0,True,0.2353,0.0,True,0.2353,0.0,True
23,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,0,0.0,0.0,False,0.0588,0.0,True,0.1176,0.0,True,0.1176,0.0588,True,0.0588,0.0,True,0.0,0.0,False
24,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए तो,0,0.0556,0.0556,False,0.0,0.0,False,0.1111,0.0,True,0.1111,0.0,True,0.1111,0.0,True,0.1111,0.1111,False
25,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,0,0.1176,0.0,True,0.0588,0.0,True,0.0,0.0,False,0.1176,0.0588,True,0.1765,0.1176,True,0.0588,0.0,True
26,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,0,0.125,0.0625,True,0.0,0.0,False,0.0625,0.0,True,0.1875,0.0625,True,0.0,0.0,False,0.0,0.0,False
27,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,0,0.0,0.0,False,0.0,0.0,False,0.0588,0.0,True,0.1176,0.0,True,0.0588,0.0,True,0.1176,0.0,True
28,तकनीकी युग में क्यों टिके हुए हैं,0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.5714,0.0,True,0.4286,0.0,True,0.2857,0.0,True
29,प्रयागराज अभी कुंभ मेला लगा था। ना,1,0.1429,0.0,True,0.2857,0.0,True,0.1429,0.0,True,0.1429,0.0,True,0.4286,0.0,True,0.4286,0.1429,True
30,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,0,0.0,0.0,False,0.1429,0.0,True,0.1429,0.0,True,0.2857,0.1429,True,0.4286,0.0,True,0.0,0.0,False
31,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,0,0.0714,0.0,True,0.0714,0.0,True,0.1429,0.0,True,0.0714,0.0,True,0.0,0.0,False,0.0,0.0,False
32,दिखाओ वाकई वाकई सही बोल रहे हो,0,0.0,0.0,False,0.0,0.0,False,0.1429,0.0,True,0.0,0.0,False,0.1429,0.0,True,0.0,0.0,False
33,तो भारत तो एक खुद से ही गिफ्टेड लैंड है तो हमें इसको एक्सप्लोर करना चाहिए देखना चाहिए,0,0.0,0.0,False,0.0556,0.0,True,0.0556,0.0,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
34,जी उसके बाद भी भाई दूज वगैरह होता है उसमें भी रिश्तेदार आते हैं बहनें आती हैं मेरी।,1,0.0556,0.0,True,0.0556,0.0,True,0.1111,0.0,True,0.1667,0.0,True,0.2222,0.0,True,0.1667,0.0,True
35,कौन सी एक पहचान स्वाद या ध्वनि तुरंत आपको बचपन की यादों में ले जाती है क्या बताएंगी,0,0.0,0.0,False,0.0,0.0,False,0.0556,0.0,True,0.0556,0.0556,False,0.1111,0.0,True,0.0556,0.0,True
36,मेरे भाई बहनों के साथ मैं खेलता था हम एक चबूतरे पर बैठे रहते थे बचपन में,0,0.2353,0.0588,True,0.0588,0.0,True,0.7647,0.6471,True,0.1176,0.0,True,0.0588,0.0,True,0.0,0.0,False
37,क्योंकि मूंग की दाल पौष्टिक रहती है तो खाने की बोलते हैं तो वो मूंग की दाल में इतनी सारी बीमारी आ रही है क्योंकि वो दवाई अच्छी नहीं बन रही है जो दवा डालते हैं ना,0,0.0,0.0,False,0.0,0.0,False,0.027,0.0,True,0.027,0.0,True,0.0811,0.0,True,0.1081,0.0,True
38,शहरी जीवन बीमा बनाम छोटे शहर का जीवन आपके शहर या कस्बे के माहौल में बड़े होने से आपको,0,0.0,0.0,False,0.0,0.0,False,0.0526,0.0,True,0.0,0.0,False,0.0526,0.0,True,0.0526,0.0,True
39,हाँ नहीं तो पहले डेस्कटॉप था ना बाद में लैपटॉप आया लैपटॉप ने इजी आसान बना दिया है काम,0,0.0,0.0,False,0.0,0.0,False,0.3158,0.0,True,0.1053,0.0,True,0.0526,0.0,True,0.1579,0.0,True
40,अब इसमें लिखा है आपकी मदद करने की प्रवृत्ति को सबसे ज़्यादा कौन सी आंतरिक मूल्य प्रेरित करता है,1,0.0,0.0,False,0.0,0.0,False,0.0526,0.0,True,0.1579,0.0,True,0.1579,0.0,True,0.0526,0.0,True
41,मुझे म्यूजिक सुनना पसंद है गाना भी पसंद है एक्चुअली और डांसिंग तो पैशन है मेरा बहुत पसंद है,0,0.0,0.0,False,0.0,0.0,False,0.0526,0.0,True,0.0526,0.0,True,0.0526,0.0,True,0.0,0.0,False
42,वहाँ पर बहुत रंग बिरंगी फूल रहता है झूला रहता है वहाँ पर बहुत चीज़ें खेलने को मिलती है,0,0.0,0.0,False,0.0526,0.0,True,0.2105,0.0,True,0.0,0.0,False,0.2632,0.0,True,0.2105,0.0,True
43,एक मेरा काम नहीं है निकलवाना लेकिन मेरे पास पता चला मुझे,1,0.0833,0.0,True,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False,0.0833,0.0,True,0.1667,0.0,True
44,चलो भगवान ने बचा लिया कुछ बड़ा नहीं हुआ चलो इतने से ही मतलब जो हमारे ऊपर कुछ थी वो बला वो टल गई,0,0.0,0.0,False,0.0833,0.0,True,0.0833,0.0,True,0.0,0.0,False,0.0833,0.0417,True,0.125,0.0,True
45,मेहनत तो कहीं व्यर्थ नहीं जाता है देर से ही आता है,0,0.0,0.0,False,0.0833,0.0,True,0.0833,0.0,True,0.0,0.0,False,0.75,0.0833,True,0.0833,0.0,True
